"","Nome","IDHM","Gini","pop_menos15","pop_mais60","pop_preta","taxacresc_pop","Dens_demo","Urbanizacao","PIB_percap","Renda_percap","Despesas_percap_saude","Gastos_saude","pop_planosaude","medicos_1000h","prop_nascvivosnormal","taxainter_faltaatencaobasica","mortalidadeinfantil","espec_vida","perc_nascidosvivosBaixoPeso"
"324","Maracaí",0.771,0.42,0.2107,0.1264,0.3289,0.25,24.96,0.9064,48554.8921634197,1000.0522023252,754.394845379,0.2478,0.0792829282928293,0.3,0.351648351648352,0.1757335,0,0.7597,0.0716671850699844
"150","Cubatão",0.737,0.45,0.2414,0.0789,0.5735,0.93,830.27,1,78797.7101795002,1032.77642360547,1667.497755033,0.2046,0.464673180592992,0.08,0.444444444444444,0.2274988,0.0863,0.7423,0.0956298600311042
"25","Angatuba",0.719,0.45,0.2323,0.1192,0.1855,1.42,21.58,0.7183,34891.1770164365,916.278195847696,639.190131739,0.255,0.129401170643854,0.54,0.312292358803987,0.3890789,0.1333,0.746,0.0739636080870918
"292","Júlio Mesquita",0.716,0.41,0.2378,0.1382,0.5498,0.62,34.53,0.9512,13548.1787020504,734.331525529368,793.434767318,0.2542,0.0607223476297968,0.23,0.476190476190476,0.09561567,0.3226,0.7376,0.04910233281493
"465","Presidente Prudente",0.806,0.54,0.1969,0.1358,0.3223,0.94,368.61,0.9796,30922.1035513621,1583.8523099653,348.660129422,0.1863,0.352483021049082,4.44,0.224390243902439,0.1813211,0.0975,0.7649,0.0936329704510109
"141","Coronel Macedo",0.69,0.45,0.2415,0.1338,0.2456,-1.1,16.47,0.7729,21310.5178259516,710.77008620757,672.68092611,0.2307,0.0211957608478304,0.2,0.490909090909091,0.1320065,0.1667,0.7364,0.0340258164852255
"204","Guaraci",0.737,0.42,0.2211,0.1283,0.3804,1.21,15.54,0.8948,21666.7778165519,946.384479425549,924.080531582,0.3173,0.127004811547715,0.5,0.181818181818182,0.09029346,0,0.7537,0.0839480559875583
"555","São José do Barreiro",0.684,0.55,0.2513,0.1351,0.3647,-0.15,7.15,0.7038,12310.3614622131,753.966058297533,730.645182554,0.1811,0.0875643855776306,0.24,0.5,0.05172883,0,0.738,0.0839480559875583
"187","Francisco Morato",0.703,0.4,0.2803,0.0636,0.571,1.48,3144.22,0.998,9477.41145145968,716.005961612414,315.320126561,0.1974,0.213119529752965,0.03,0.569377990430622,0.1063815,0.1221,0.7391,0.0963287713841369
"122","Carapicuíba",0.749,0.46,0.2428,0.0804,0.4843,0.72,10690.82,1,14000.2968472366,1013.14189083731,278.602393876,0.2808,0.390969306030564,0.33,0.495116898490678,0.1163399,0.1005,0.7552,0.0892398133748056
"392","Ouroeste",0.77,0.43,0.2048,0.1355,0.3804,2.94,29.03,0.8978,118071.838082581,1027.54054820063,2036.816321325,0.2259,0.162403331350387,0.71,0.032520325203252,0.126913,0,0.7693,0.0684721617418352
"415","Pedra Bela",0.677,0.41,0.2094,0.1483,0.1914,0.31,36.44,0.2492,16127.1505945578,776.21852876812,490.298594765,0.2415,0.0752595155709343,0,0.428571428571429,0.06448047,0.1408,0.7277,0.0863443234836703
"299","Laranjal Paulista",0.729,0.41,0.2096,0.1429,0.2388,1.32,65.68,0.8955,27620.4784890618,1115.24146123177,602.834298678,0.2583,0.21872401093026,1.03,0.462962962962963,0.3311457,0.1577,0.7473,0.0984255054432348
"532","Santa Rosa do Viterbo",0.77,0.5,0.2074,0.1416,0.3522,1.08,82.61,0.9533,30982.9931578145,1217.34103162622,542.24626996,0.2462,0.299932947783086,0.46,0.246478873239437,0.3780048,0.2076,0.771,0.0836485225505443
"524","Santa Isabel",0.738,0.45,0.2341,0.1082,0.3102,1.44,138.71,0.7847,22691.4814338059,911.042320442852,736.797476162,0.2264,0.142271024517868,0.52,0.368279569892473,0.1307787,0.1321,0.7502,0.0827499222395023
"358","Morungaba",0.715,0.41,0.2213,0.1175,0.3303,1.74,80.08,0.854,42217.9398223626,1057.64683177848,521.723545449,0.214,0.315319908233495,0.26,0.323529411764706,0.1269285,0.4678,0.731,0.105913841368585
"212","Guarujá",0.751,0.5,0.2437,0.092,0.5191,0.95,2025.28,0.9998,21543.5510052768,1111.31455467813,645.176554686,0.1659,0.387333535108959,0.73,0.407906360424028,0.07500773,0.1915,0.7623,0.085246034214619
"435","Piraju",0.758,0.48,0.2128,0.1477,0.1481,0.21,56.43,0.8992,21517.0720184194,1193.77959230443,505.272191708,0.2119,0.099315188762072,1.4,0.362637362637363,0.3974668,0.0838,0.7559,0.0648777604976672
